Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
64.2,457898890,19,24099941.6,7731536.0,1816,139684686,42169755.7,cudaDeviceSynchronize
17.4,123742261,4941,25044.0,4759.0,3232,15033706,458307.2,cudaLaunchKernel
12.2,87212051,101,863485.7,9108.0,4226,31039325,3186323.7,cudaMemcpyAsync
3.4,24186072,4,6046518.0,7519243.0,1446634,7700952,3067999.8,cuLibraryLoadData
2.0,14285782,477,29949.2,559.0,432,13963807,639328.0,cudaStreamIsCapturing
0.3,2323977,1,2323977.0,2323977.0,2323977,2323977,0.0,cudaFree
0.2,1495029,19,78685.7,67159.0,2604,197032,42297.1,cudaMalloc
0.2,1191147,101,11793.5,7663.0,4299,133341,13698.5,cudaStreamSynchronize
0.0,196352,1338,146.8,109.0,65,2933,155.6,cuGetProcAddress_v2
0.0,63829,4,15957.3,16757.0,8956,21359,5798.3,cudaEventRecordWithFlags
0.0,29532,22,1342.4,412.0,216,7162,1947.4,cudaEventCreateWithFlags
0.0,26425,4,6606.3,6174.5,5625,8451,1261.3,cuLibraryGetKernel
0.0,23093,1,23093.0,23093.0,23093,23093,0.0,cuCtxSynchronize
0.0,16307,4,4076.8,2826.5,598,10056,4423.0,cudaEventQuery
0.0,12376,4,3094.0,2312.0,681,7071,2901.2,cudaGetDeviceProperties
0.0,8282,4,2070.5,120.0,87,7955,3923.0,cuModuleGetLoadingMode
0.0,7070,4,1767.5,1755.0,280,3280,1659.3,cudaEventDestroy
0.0,4085,5,817.0,508.0,337,2083,731.2,cuInit
0.0,1938,2,969.0,969.0,217,1721,1063.5,cudaGetDriverEntryPoint
0.0,1048,4,262.0,221.5,143,462,138.5,cuDeviceGetLuid
