Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
59.5,59516076,457,130232.1,4071.0,2828,20815987,1296982.6,cudaLaunchKernel
24.9,24879251,4,6219812.8,7638285.5,1476846,8125834,3170763.4,cuLibraryLoadData
5.0,5031176,195,25800.9,341.0,220,4069973,297900.6,cuKernelGetFunction
3.8,3761320,19,197964.2,90294.0,1494,1070585,276495.9,cudaDeviceSynchronize
2.4,2368395,2,1184197.5,1184197.5,6493,2361902,1665525.7,cudaFree
1.7,1690510,195,8669.3,8261.0,2805,40413,5691.9,cuLaunchKernel
0.5,510683,9,56742.6,54659.0,2378,106837,36823.1,cudaMalloc
0.4,439503,520,845.2,644.0,476,45847,2021.7,cudaStreamWaitEvent
0.4,415976,455,914.2,622.0,455,10012,809.1,cudaEventRecord
0.3,343684,2230,154.1,111.0,68,3278,155.4,cuGetProcAddress_v2
0.3,294723,1,294723.0,294723.0,294723,294723,0.0,cudaHostAlloc
0.2,214354,18,11908.6,6689.0,4193,29529,9240.3,cudaMemcpyAsync
0.2,161380,1,161380.0,161380.0,161380,161380,0.0,cuModuleLoadData
0.1,89205,10,8920.5,6371.0,4075,29905,7830.7,cudaStreamSynchronize
0.1,71433,131,545.3,234.0,136,34655,3013.6,cudaMemsetAsync
0.0,41216,16,2576.0,698.5,547,20169,5437.0,cudaStreamCreateWithFlags
0.0,39307,4,9826.8,10532.0,6084,12159,2872.1,cudaEventRecordWithFlags
0.0,37871,6,6311.8,6510.0,4638,7738,1364.7,cuLibraryGetKernel
0.0,23170,11,2106.4,1201.0,185,9246,2574.0,cudaStreamIsCapturing
0.0,22638,23,984.3,377.0,303,5759,1267.0,cudaEventCreateWithFlags
0.0,18191,1,18191.0,18191.0,18191,18191,0.0,cuCtxSynchronize
0.0,9108,6,1518.0,1079.5,504,3571,1152.3,cudaGetDeviceProperties
0.0,8435,11,766.8,193.0,142,6442,1882.7,cuOccupancyMaxActiveClusters
0.0,7477,6,1246.2,107.0,86,6945,2791.9,cuModuleGetLoadingMode
0.0,7292,4,1823.0,1042.0,365,4843,2103.0,cudaEventQuery
0.0,4556,7,650.9,437.0,233,1857,545.6,cuInit
0.0,3416,4,854.0,594.0,239,1989,806.4,cudaEventDestroy
0.0,2640,1,2640.0,2640.0,2640,2640,0.0,cuOccupancyAvailableDynamicSMemPerBlock
0.0,1914,2,957.0,957.0,177,1737,1103.1,cudaGetDriverEntryPoint
0.0,1366,6,227.7,197.5,123,356,103.8,cuDeviceGetLuid
