Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
49.0,158421629,10934,14488.9,4905.5,3070,13142924,251667.1,cudaLaunchKernel
12.3,39626441,371,106809.8,20473.0,1750,3230235,331650.4,cudaDeviceSynchronize
10.8,34861868,39,893894.1,171746.0,6898,7423469,1590054.0,cudaFree
7.7,24927759,18,1384875.5,57050.0,52487,7890090,2864557.5,cuLibraryLoadData
5.3,17287782,54,320144.1,1093.0,362,17204486,2341020.5,cudaStreamIsCapturing
4.5,14642827,1929,7590.9,5546.0,3377,87710,7146.3,cuLaunchKernel
3.7,11911103,320,37222.2,18701.0,2513,955000,93697.5,cudaEventSynchronize
1.7,5535567,1929,2869.7,400.0,211,3761356,87411.7,cuKernelGetFunction
1.5,4943567,52,95068.6,68366.5,2411,310167,62463.7,cudaMalloc
0.9,2815417,660,4265.8,3279.5,481,33383,3554.9,cudaEventRecord
0.8,2657269,180,14762.6,4464.5,3077,416092,54975.6,cudaLaunchKernelExC
0.7,2204069,244,9033.1,4329.0,3031,388898,28946.0,cudaMemcpyAsync
0.4,1391165,244,5701.5,4440.5,2646,105837,7103.8,cudaStreamSynchronize
0.1,408945,32,12779.5,8966.5,6094,21998,5960.7,cudaMemGetInfo
0.1,398610,2676,149.0,110.0,69,3043,155.6,cuGetProcAddress_v2
0.1,353657,1,353657.0,353657.0,353657,353657,0.0,cudaHostAlloc
0.1,334095,1,334095.0,334095.0,334095,334095,0.0,cuModuleLoadData
0.1,165054,51,3236.4,1379.0,144,30203,5107.8,cudaMemsetAsync
0.0,160782,14,11484.4,10442.5,9156,16550,2600.1,cuLibraryUnload
0.0,125659,64,1963.4,1204.0,340,5960,1852.4,cudaEventCreate
0.0,58192,23,2530.1,491.0,260,9330,3181.9,cuLibraryGetKernel
0.0,45968,68,676.0,541.0,241,2916,491.7,cudaEventDestroy
0.0,45557,4,11389.3,11401.0,9979,12776,1318.0,cudaEventRecordWithFlags
0.0,30015,32,938.0,760.0,519,3721,596.9,cudaStreamWaitEvent
0.0,28692,23,1247.5,552.0,321,5833,1564.6,cudaEventCreateWithFlags
0.0,26187,16,1636.7,577.5,541,13116,3198.2,cudaStreamCreateWithFlags
0.0,13581,1,13581.0,13581.0,13581,13581,0.0,cuCtxSynchronize
0.0,11845,6,1974.2,1191.5,473,4377,1724.3,cudaGetDeviceProperties
0.0,8635,7,1233.6,119.0,105,7700,2852.3,cuModuleGetLoadingMode
0.0,5574,8,696.8,625.0,447,1548,358.8,cuInit
0.0,5136,4,1284.0,1115.5,363,2542,1065.9,cudaEventQuery
0.0,4630,11,420.9,189.0,144,2786,784.8,cuOccupancyMaxActiveClusters
0.0,2079,2,1039.5,1039.5,199,1880,1188.6,cudaGetDriverEntryPoint
0.0,2054,1,2054.0,2054.0,2054,2054,0.0,cuOccupancyAvailableDynamicSMemPerBlock
0.0,1901,7,271.6,237.0,158,425,90.3,cuDeviceGetLuid
