Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
51.0,452250472,140,3230360.5,370926.5,7983,85347216,11859662.5,cudaDeviceSynchronize
23.8,211163613,7331,28804.2,4377.0,2830,16342775,519866.0,cudaLaunchKernel
6.0,53639123,631,85006.5,4165.0,2902,13094147,989067.7,cuLaunchKernel
5.3,46752285,110,425020.8,325489.0,23127,3559479,480069.8,cudaEventSynchronize
3.4,29850873,6,4975145.5,5939340.0,1314400,7647009,3060756.0,cuLibraryLoadData
3.1,27115246,15,1807683.1,809514.0,7200,11293167,2918265.1,cudaFree
2.8,24939740,772,32305.4,4212.0,3224,13188656,527302.9,cudaLaunchKernelExC
1.9,16647642,30,554921.4,1083.5,487,16601282,3030674.1,cudaStreamIsCapturing
1.0,8767609,28,313128.9,79236.5,2373,2902030,619775.2,cudaMalloc
0.7,5819345,631,9222.4,354.0,190,3140661,156590.5,cuKernelGetFunction
0.5,4224574,122,34627.7,4856.5,3464,935793,130844.5,cudaMemcpyAsync
0.1,1316514,122,10791.1,6215.0,2519,304266,28958.9,cudaStreamSynchronize
0.1,1315274,1,1315274.0,1315274.0,1315274,1315274,0.0,cuModuleLoadData
0.1,1270330,310,4097.8,3219.5,442,33289,4992.8,cudaEventRecord
0.0,419113,2676,156.6,111.0,72,5953,210.3,cuGetProcAddress_v2
0.0,372948,1,372948.0,372948.0,372948,372948,0.0,cudaHostAlloc
0.0,231553,314,737.4,619.5,475,4323,453.8,cudaStreamWaitEvent
0.0,147405,23,6408.9,5090.0,3213,30949,5740.4,cudaMemsetAsync
0.0,89420,11,8129.1,6462.0,6020,14306,3198.3,cudaMemGetInfo
0.0,68291,4,17072.8,17426.5,8155,25283,7638.7,cudaEventRecordWithFlags
0.0,52423,9,5824.8,7083.0,1089,7894,2453.1,cuLibraryGetKernel
0.0,41816,26,1608.3,1779.5,317,5544,1288.3,cudaEventCreate
0.0,29670,16,1854.4,669.0,604,14207,3554.9,cudaStreamCreateWithFlags
0.0,28990,23,1260.4,376.0,207,6133,1723.6,cudaEventCreateWithFlags
0.0,23722,30,790.7,686.5,243,3372,736.2,cudaEventDestroy
0.0,18438,6,3073.0,1115.0,475,11237,4179.2,cudaGetDeviceProperties
0.0,18395,1,18395.0,18395.0,18395,18395,0.0,cuCtxSynchronize
0.0,10072,4,2518.0,2334.5,657,4746,2077.2,cudaEventQuery
0.0,7955,7,1136.4,227.0,110,6593,2407.1,cuModuleGetLoadingMode
0.0,5732,8,716.5,523.0,375,1782,477.2,cuInit
0.0,4541,11,412.8,213.0,161,2521,699.7,cuOccupancyMaxActiveClusters
0.0,2217,1,2217.0,2217.0,2217,2217,0.0,cuOccupancyAvailableDynamicSMemPerBlock
0.0,2121,2,1060.5,1060.5,187,1934,1235.3,cudaGetDriverEntryPoint
0.0,1906,7,272.3,248.0,152,434,102.2,cuDeviceGetLuid
